,country,year,emissions,total_emissions
1471,Mexico,2011,533.9701430485999,533970143.0485999
1472,US,2011,5688.27283433068,5688272834.33068
1473,Argentina,2011,201.5116705182344,201511670.5182344
1474,Brazil,2011,474.78796526529686,474787965.2652969
1475,Chile,2011,88.57282969736995,88572829.69736995
1476,Colombia,2011,89.39469476751222,89394694.76751222
1477,Ecuador,2011,43.013194589551226,43013194.589551225
1478,Peru,2011,51.646366963149205,51646366.963149205
1479,Trinidad and Tobago,2011,34.22724396680946,34227243.96680946
1480,Venezuela,2011,332.064683763889,332064683.76388896
1481,Austria,2011,66.51826014331681,66518260.143316805
1482,Belgium,2011,123.373028000179,123373028.00017901
1483,Bulgaria,2011,65.1285695155498,65128569.5155498
1484,Croatia,2011,20.484777912394257,20484777.91239426
1485,Czech Republic,2011,114.76496183194148,114764961.83194147
1486,Denmark,2011,48.87010520636624,48870105.20636624
1487,Estonia,2011,23.94110726665639,23941107.26665639
1488,France,2011,343.76049707034997,343760497.07035
1489,Germany,2011,781.8649138591006,781864913.8591006
1490,Greece,2011,96.92224751576862,96922247.51576862
1491,Hungary,2011,49.50539085867576,49505390.85867576
1492,Ireland,2011,39.859336292228136,39859336.29222813
1493,Italy,2011,406.18781453383644,406187814.5338364
1494,Lithuania,2011,12.705933995163448,12705933.995163448
1495,Netherlands,2011,220.09857529979874,220098575.29979873
1496,North Macedonia,2011,12.719666512927022,12719666.512927022
1497,Norway,2011,39.83849259104955,39838492.59104955
1498,Poland,2011,332.7592826140878,332759282.6140878
1499,Romania,2011,90.77140085798003,90771400.85798003
1500,Slovakia,2011,35.185067045762196,35185067.045762196
1501,Slovenia,2011,15.552000231329934,15552000.231329935
1502,Spain,2011,318.0603257343752,318060325.73437524
1503,Sweden,2011,53.45604451803139,53456044.51803139
1504,Turkey,2011,330.42927411952354,330429274.1195235
1505,Ukraine,2011,316.95232030999966,316952320.30999964
1506,United Kingdom,2011,506.01819157230636,506018191.57230633
1507,Azerbaijan,2011,40.02822680999312,40028226.80999312
1508,Belarus,2011,62.814894837115,62814894.837115
1509,Kazakhstan,2011,253.7790630838225,253779063.08382252
1510,Russian Federation,2011,2067.597757669977,2067597757.669977
1511,Turkmenistan,2011,122.07545772857384,122075457.72857384
1512,Uzbekistan,2011,141.3071852292424,141307185.2292424
1513,"Iran, Islamic Republic of",2011,723.8387057950546,723838705.7950546
1514,Iraq,2011,184.5970822438932,184597082.2438932
1515,Israel,2011,71.2656236769296,71265623.6769296
1516,Kuwait,2011,110.2117102837994,110211710.28379941
1517,Oman,2011,69.79651132386832,69796511.32386832
1518,Qatar,2011,95.17083529890975,95170835.29890975
1519,Saudi Arabia,2011,591.2523418486533,591252341.8486533
1520,United Arab Emirates,2011,251.78025152384873,251780251.52384874
1521,Algeria,2011,178.82838154433355,178828381.54433355
1522,Egypt,2011,236.71578108773693,236715781.08773693
1523,Morocco,2011,58.17677821893325,58176778.21893325
1524,South Africa,2011,501.3469623233062,501346962.32330614
1525,Australia,2011,453.7006858365354,453700685.8365354
1526,Bangladesh,2011,64.66635372768502,64666353.72768502
1527,China,2011,10083.219057928667,10083219057.928667
1528,China,2011,92.56874711761071,92568747.11761071
1529,India,2011,1900.8321615192074,1900832161.5192075
1530,Indonesia,2011,596.3431462408017,596343146.2408017
1531,Japan,2011,1237.28842468555,1237288424.68555
1532,Malaysia,2011,230.06549725774858,230065497.25774857
1533,New Zealand,2011,36.46955391742439,36469553.91742439
1534,Pakistan,2011,168.38705751806756,168387057.51806757
1535,Philippines,2011,88.34705113068517,88347051.13068518
1536,South Korea,2011,640.5673945657743,640567394.5657743
1537,Taiwan,2011,281.5464754070617,281546475.4070617
